City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Sibu,MY,2.3,111.8167,86.31,70,40,5.01,scattered clouds
174,Shingu,JP,33.7333,135.9833,53.08,47,25,13.89,scattered clouds
175,El Alto,PE,-4.2714,-81.2147,74.91,79,100,9.46,overcast clouds
176,Palmerston,AU,-12.486,130.9833,76.98,94,75,8.05,light rain
177,Bata,GQ,1.8639,9.7658,79.41,83,47,4.99,light rain
178,Saldanha,ZA,-33.0117,17.9442,66.25,78,100,20.38,overcast clouds
179,Berd,AM,40.8815,45.3899,35.76,61,43,8.48,scattered clouds
180,Dingle,PH,10.9995,122.6711,85.96,69,81,11.65,broken clouds
181,Guerrero Negro,MX,27.9769,-114.0611,60.84,65,100,6.2,overcast clouds
182,Ruidoso,US,33.3317,-105.673,44.06,93,100,21.85,light rain
183,Rudnaya Pristan,RU,44.3614,135.8116,23.49,42,27,10.92,scattered clouds
184,Iqaluit,CA,63.7506,-68.5145,-31.27,68,75,0.0,broken clouds
185,Acarau,BR,-2.8856,-40.12,76.77,83,100,7.25,overcast clouds
186,Noumea,NC,-22.2763,166.4572,84.18,61,28,18.25,scattered clouds
187,Nusaybin,TR,37.0778,41.2178,42.87,62,6,3.76,clear sky
188,Kikwit,CD,-5.041,18.8162,71.96,81,100,1.95,overcast clouds
189,Vrangel,RU,42.7297,133.0839,25.03,45,46,13.78,scattered clouds
190,Caravelas,BR,-17.7125,-39.2481,73.65,91,41,2.86,scattered clouds
191,Flinders,AU,-34.5833,150.8552,87.19,67,0,5.99,clear sky
192,Puerto Escondido,MX,15.85,-97.0667,79.63,78,20,0.0,few clouds
193,East London,ZA,-33.0153,27.9116,68.94,100,20,6.91,few clouds
194,Chuy,UY,-33.6971,-53.4616,59.95,74,59,5.61,broken clouds
195,Cervo,ES,43.6702,-7.4101,52.41,91,94,10.92,overcast clouds
196,Lavrentiya,RU,65.5833,-171.0,-9.99,94,99,7.92,overcast clouds
197,Victoria,HK,22.2855,114.1577,73.96,56,46,11.01,scattered clouds
198,Nowy Sacz,PL,49.6218,20.6971,34.11,88,100,5.23,overcast clouds
199,Santa Rosa,PH,14.3122,121.1114,88.09,73,73,4.7,broken clouds
200,Ocos,GT,14.5094,-92.1933,69.98,73,5,0.81,clear sky
201,Beloha,MG,-25.1667,45.05,84.72,58,3,6.73,clear sky
202,Pangody,RU,65.85,74.4859,-7.51,98,56,4.09,broken clouds
203,Umm Lajj,SA,25.0213,37.2685,71.56,60,22,2.08,few clouds
204,Olsztyn,PL,53.7799,20.4942,33.76,80,100,13.89,overcast clouds
205,Werda,BW,-25.2667,23.2833,74.55,66,68,6.31,broken clouds
206,Nizwa,OM,22.9333,57.5333,76.21,26,4,2.35,clear sky
207,Arawa,PG,-6.2132,155.5367,82.35,81,95,2.95,light rain
208,Oranjemund,NA,-28.55,16.4333,64.94,77,38,12.57,scattered clouds
209,Yurginskoye,RU,56.8189,67.3921,7.48,97,100,7.9,overcast clouds
210,Ocala,US,29.1872,-82.1401,59.97,90,0,3.44,mist
211,Great Falls,US,47.5002,-111.3008,39.67,57,100,24.16,overcast clouds
212,Chokurdakh,RU,70.6333,147.9167,-32.33,98,93,1.74,overcast clouds
213,Rantauprapat,ID,2.1,99.8333,86.0,67,98,1.28,overcast clouds
214,Nanakuli,US,21.3906,-158.1547,77.99,71,100,8.05,light rain
